ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;202;0,46;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;101;0,23;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;RC         ;Partit Republicà Català                           ;99;0,22;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;73;0,16;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;68;0,15;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PH         ;Partit Humanista de Catalunya                     ;35;0,08;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PFiV       ;Partit Família i Vida                             ;34;0,08;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;DECIDEIXCAT;Catalunya Decideix                                ;22;0,05;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;MSR        ;Movimiento Social Republicano                     ;21;0,05;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;17;0,04;0;
A;2006;CO;Catalunya                ;;;3;Alt Penedès                   ;;;;;PAZUL      ;Carmel/Partido Azul                               ;12;0,03;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;CiU        ;Convergència i Unió                               ;4.174;44,20;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;2.000;21,18;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.540;16,31;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;699;7,40;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PP         ;Partit Popular                                    ;660;6,99;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;55;0,58;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;24;0,25;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PUM+J      ;Por un Mundo Más Justo                            ;15;0,16;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;14;0,15;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;12;0,13;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;9;0,10;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;6;0,06;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PFiV       ;Partit Família i Vida                             ;4;0,04;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PH         ;Partit Humanista de Catalunya                     ;3;0,03;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;3;0,03;0;
A;2006;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;MSR        ;Movimiento Social Republicano                     ;1;0,01;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;CiU        ;Convergència i Unió                               ;717;40,67;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;526;29,84;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;205;11,63;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;127;7,20;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PP         ;Partit Popular                                    ;100;5,67;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;13;0,74;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;10;0,57;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;7;0,40;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;6;0,34;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PUM+J      ;Por un Mundo Más Justo                            ;4;0,23;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;3;0,17;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;2;0,11;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PH         ;Partit Humanista de Catalunya                     ;1;0,06;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;MSR        ;Movimiento Social Republicano                     ;1;0,06;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PFiV       ;Partit Família i Vida                             ;1;0,06;0;
A;2006;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;0;0,00;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;CiU        ;Convergència i Unió                               ;16.571;35,50;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;12.517;26,82;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;7.444;15,95;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PP         ;Partit Popular                                    ;3.904;8,36;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;3.576;7,66;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;516;1,11;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;356;0,76;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;236;0,51;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;RC         ;Partit Republicà Català                           ;117;0,25;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;113;0,24;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;111;0,24;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;64;0,14;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PFiV       ;Partit Família i Vida                             ;55;0,12;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PH         ;Partit Humanista de Catalunya                     ;39;0,08;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;32;0,07;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;MSR        ;Movimiento Social Republicano                     ;29;0,06;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;DECIDEIXCAT;Catalunya Decideix                                ;21;0,04;0;
A;2006;CO;Catalunya                ;;;6;Anoia                         ;;;;;PAZUL      ;Carmel/Partido Azul                               ;21;0,04;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;CiU        ;Convergència i Unió                               ;30.805;38,86;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;18.922;23,87;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;14.107;17,79;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;6.243;7,87;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PP         ;Partit Popular                                    ;5.255;6,63;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;788;0,99;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;EV-EVC     ;Els Verds - Ecologistes i Verds de Catalunya      ;406;0,51;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;269;0,34;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;219;0,28;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;RC         ;Partit Republicà Català                           ;137;0,17;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PCPC       ;Partit Comunista del Poble de Catalunya           ;117;0,15;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;116;0,15;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;57;0,07;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PFiV       ;Partit Família i Vida                             ;47;0,06;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PH         ;Partit Humanista de Catalunya                     ;41;0,05;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;DECIDEIXCAT;Catalunya Decideix                                ;24;0,03;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;MSR        ;Movimiento Social Republicano                     ;19;0,02;0;
A;2006;CO;Catalunya                ;;;7;Bages                         ;;;;;PAZUL      ;Carmel/Partido Azul                               ;18;0,02;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;CiU        ;Convergència i Unió                               ;21.632;33,34;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;15.231;23,48;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;11.709;18,05;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PP         ;Partit Popular                                    ;7.510;11,58;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;4.258;6,56;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;1.814;2,80;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;351;0,54;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;290;0,45;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;RC         ;Partit Republicà Català                           ;191;0,29;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;184;0,28;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PCPC-NSOM  ;P. Comunista del Poble de Catalunya-Nosaltres Som ;124;0,19;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PFiV       ;Partit Família i Vida                             ;91;0,14;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;Ei-ADD     ;Escons Insubmisos-Alt. dels Demòcrates Descontents;88;0,14;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PUM+J      ;Por un Mundo Más Justo                            ;79;0,12;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;AES-DN     ;Plataforma Adelante Cataluña (Alt.Española-DN)    ;62;0,10;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;53;0,08;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PH         ;Partit Humanista de Catalunya                     ;49;0,08;0;
A;2006;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;MSR        ;Movimiento Social Republicano                     ;15;0,02;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;CiU        ;Convergència i Unió                               ;9.491;30,79;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;8.638;28,02;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;6.866;22,27;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PP         ;Partit Popular                                    ;2.381;7,72;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;ICV-EUiA   ;Iniciativa per Catalunya Verds - EUIA             ;1.957;6,35;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;C's        ;Ciutadans-Partido de la Ciudadanía                ;253;0,82;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PACMA      ;Partido Antitaurino contra el maltrato animal     ;137;0,44;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;RC         ;Partit Republicà Català                           ;136;0,44;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;96;0,31;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;71;0,23;0;
A;2006;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;IR-PRE     ;Izquierda Republicana-Partit Republicà d'Esquerra ;68;0,22;0;
