"ELECCIO";"ANY";"NIVELL";"AUTONOMIA";"CODI PROVÍNCIA";"PROVÍNCIA";"CODI COMARCA";"COMARCA";"CODI MUNICIPI";"MUNICIPI";"CODI DISTRICTE";"DISTRICTE";"CENS ELECTORAL";"VOTANTS";"% VOTANTS";"ABSTENCIÓ";"% ABSTENCIÓ";"VOTS NULS";"% VOTS NULS";"VOTS EN BLANC";"% VOTS EN BLANC";"VOTS A CANDIDATURES";"% VOTS A CANDIDATURES";"VOTS VÀLIDS";"% VOTS VÀLIDS"
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";113;"Manresa                                 ";"";"";53.342;34.572;64,81;18.770;35,19;80;0,23;299;0,86;34.193;98,90;34.492;99,77
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";114;"Martorell                               ";"";"";18.307;11.118;60,73;7.189;39,27;31;0,28;102;0,92;10.985;98,80;11.087;99,72
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";115;"Martorelles                             ";"";"";4.015;2.389;59,50;1.626;40,50;8;0,33;26;1,09;2.355;98,58;2.381;99,67
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";116;"Masies de Roda, les                     ";"";"";570;460;80,70;110;19,30;0;0,00;2;0,43;458;99,57;460;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";117;"Masies de Voltregà, les                 ";"";"";2.370;1.731;73,04;639;26,96;5;0,29;16;0,92;1.710;98,79;1.726;99,71
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";118;"Masnou, el                              ";"";"";16.746;11.124;66,43;5.622;33,57;17;0,15;112;1,01;10.995;98,84;11.107;99,85
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";119;"Masquefa                                ";"";"";5.064;2.849;56,26;2.215;43,74;11;0,39;25;0,88;2.813;98,74;2.838;99,61
"A";2003;"MU";"Catalunya                ";8;"Barcelona";40;"Vallès Occidental             ";120;"Matadepera                              ";"";"";5.752;4.259;74,04;1.493;25,96;4;0,09;43;1,01;4.212;98,90;4.255;99,91
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";121;"Mataró                                  ";"";"";85.092;52.686;61,92;32.406;38,08;108;0,20;458;0,87;52.120;98,93;52.578;99,80
"A";2003;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";122;"Mediona                                 ";"";"";1.410;952;67,52;458;32,48;0;0,00;10;1,05;942;98,95;952;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";123;"Molins de Rei                           ";"";"";18.106;12.139;67,04;5.967;32,96;25;0,21;107;0,88;12.007;98,91;12.114;99,79
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";124;"Mollet del Vallès                       ";"";"";38.185;21.591;56,54;16.594;43,46;32;0,15;177;0,82;21.382;99,03;21.559;99,85
"A";2003;"MU";"Catalunya                ";8;"Barcelona";40;"Vallès Occidental             ";125;"Montcada i Reixac                       ";"";"";23.856;13.902;58,27;9.954;41,73;12;0,09;130;0,94;13.760;98,98;13.890;99,91
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";126;"Montgat                                 ";"";"";7.114;4.428;62,24;2.686;37,76;9;0,20;36;0,81;4.383;98,98;4.419;99,80
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";127;"Monistrol de Montserrat                 ";"";"";2.129;1.429;67,12;700;32,88;4;0,28;14;0,98;1.411;98,74;1.425;99,72
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";128;"Monistrol de Calders                    ";"";"";526;407;77,38;119;22,62;0;0,00;3;0,74;404;99,26;407;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";129;"Muntanyola                              ";"";"";293;223;76,11;70;23,89;0;0,00;0;0,00;223;100,00;223;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";130;"Montclar                                ";"";"";96;71;73,96;25;26,04;0;0,00;0;0,00;71;100,00;71;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";131;"Montesquiu                              ";"";"";699;525;75,11;174;24,89;1;0,19;2;0,38;522;99,43;524;99,81
"A";2003;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";132;"Montmajor                               ";"";"";402;308;76,62;94;23,38;2;0,65;1;0,32;305;99,03;306;99,35
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";133;"Montmaneu                               ";"";"";181;126;69,61;55;30,39;0;0,00;2;1,59;124;98,41;126;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";134;"Figaró-Montmany                         ";"";"";725;477;65,79;248;34,21;1;0,21;1;0,21;475;99,58;476;99,79
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";135;"Montmeló                                ";"";"";6.782;4.286;63,20;2.496;36,80;14;0,33;25;0,58;4.247;99,09;4.272;99,67
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";136;"Montornès del Vallès                    ";"";"";10.417;5.751;55,21;4.666;44,79;19;0,33;61;1,06;5.671;98,61;5.732;99,67
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";137;"Montseny                                ";"";"";276;215;77,90;61;22,10;0;0,00;0;0,00;215;100,00;215;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";138;"Moià                                    ";"";"";3.546;2.532;71,40;1.014;28,60;5;0,20;17;0,67;2.510;99,13;2.527;99,80
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";139;"Mura                                    ";"";"";200;155;77,50;45;22,50;0;0,00;1;0,65;154;99,35;155;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";140;"Navarcles                               ";"";"";4.510;3.148;69,80;1.362;30,20;9;0,29;27;0,86;3.112;98,86;3.139;99,71
"A";2003;"MU";"Catalunya                ";8;"Barcelona";7;"Bages                         ";141;"Navàs                                   ";"";"";4.605;3.243;70,42;1.362;29,58;10;0,31;16;0,49;3.217;99,20;3.233;99,69
"A";2003;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";142;"Nou de Berguedà, la                     ";"";"";125;101;80,80;24;19,20;0;0,00;2;1,98;99;98,02;101;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";143;"Òdena                                   ";"";"";2.257;1.532;67,88;725;32,12;5;0,33;11;0,72;1.516;98,96;1.527;99,67
"A";2003;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";144;"Olvan                                   ";"";"";778;546;70,18;232;29,82;0;0,00;2;0,37;544;99,63;546;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";145;"Olèrdola                                ";"";"";2.037;1.470;72,16;567;27,84;5;0,34;5;0,34;1.460;99,32;1.465;99,66
"A";2003;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";146;"Olesa de Bonesvalls                     ";"";"";975;589;60,41;386;39,59;4;0,68;3;0,51;582;98,81;585;99,32
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";147;"Olesa de Montserrat                     ";"";"";15.353;9.411;61,30;5.942;38,70;35;0,37;90;0,96;9.286;98,67;9.376;99,63
"A";2003;"MU";"Catalunya                ";8;"Barcelona";17;"Garraf                        ";148;"Olivella                                ";"";"";1.374;740;53,86;634;46,14;0;0,00;7;0,95;733;99,05;740;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";149;"Olost                                   ";"";"";990;789;79,70;201;20,30;4;0,51;3;0,38;782;99,11;785;99,49
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";150;"Orís                                    ";"";"";207;157;75,85;50;24,15;1;0,64;3;1,91;153;97,45;156;99,36
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";151;"Oristà                                  ";"";"";519;380;73,22;139;26,78;0;0,00;3;0,79;377;99,21;380;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";152;"Orpí                                    ";"";"";157;124;78,98;33;21,02;0;0,00;0;0,00;124;100,00;124;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";153;"Òrrius                                  ";"";"";384;303;78,91;81;21,09;0;0,00;3;0,99;300;99,01;303;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";154;"Pacs del Penedès                        ";"";"";559;451;80,68;108;19,32;2;0,44;4;0,89;445;98,67;449;99,56
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";155;"Palafolls                               ";"";"";5.020;3.012;60,00;2.008;40,00;7;0,23;17;0,56;2.988;99,20;3.005;99,77
"A";2003;"MU";"Catalunya                ";8;"Barcelona";40;"Vallès Occidental             ";156;"Palau-solità i Plegamans                ";"";"";9.352;5.720;61,16;3.632;38,84;17;0,30;41;0,72;5.662;98,99;5.703;99,70
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";157;"Pallejà                                 ";"";"";7.459;4.647;62,30;2.812;37,70;13;0,28;29;0,62;4.605;99,10;4.634;99,72
"A";2003;"MU";"Catalunya                ";8;"Barcelona";11;"Baix Llobregat                ";158;"Papiol, el                              ";"";"";2.811;1.794;63,82;1.017;36,18;5;0,28;6;0,33;1.783;99,39;1.789;99,72
"A";2003;"MU";"Catalunya                ";8;"Barcelona";41;"Vallès Oriental               ";159;"Parets del Vallès                       ";"";"";12.183;7.308;59,99;4.875;40,01;13;0,18;52;0,71;7.243;99,11;7.295;99,82
"A";2003;"MU";"Catalunya                ";8;"Barcelona";24;"Osona                         ";160;"Perafita                                ";"";"";297;230;77,44;67;22,56;0;0,00;4;1,74;226;98,26;230;100,00
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";161;"Piera                                   ";"";"";8.708;4.814;55,28;3.894;44,72;8;0,17;30;0,62;4.776;99,21;4.806;99,83
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";162;"Hostalets de Pierola, els               ";"";"";1.291;885;68,55;406;31,45;1;0,11;6;0,68;878;99,21;884;99,89
"A";2003;"MU";"Catalunya                ";8;"Barcelona";21;"Maresme                       ";163;"Pineda de Mar                           ";"";"";17.025;10.018;58,84;7.007;41,16;22;0,22;64;0,64;9.932;99,14;9.996;99,78
"A";2003;"MU";"Catalunya                ";8;"Barcelona";3;"Alt Penedès                   ";164;"Pla del Penedès, el                     ";"";"";756;563;74,47;193;25,53;4;0,71;2;0,36;557;98,93;559;99,29
"A";2003;"MU";"Catalunya                ";8;"Barcelona";6;"Anoia                         ";165;"Pobla de Claramunt, la                  ";"";"";1.506;1.054;69,99;452;30,01;4;0,38;4;0,38;1.046;99,24;1.050;99,62
"A";2003;"MU";"Catalunya                ";8;"Barcelona";14;"Berguedà                      ";166;"Pobla de Lillet, la                     ";"";"";1.241;906;73,01;335;26,99;3;0,33;9;0,99;894;98,68;903;99,67
