ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;SIGLES;PARTIT;VOTS PARTITS;% VOTS / VÀLIDS;ESCONS
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;2.395;24,58;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;1.683;17,27;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PP         ;Partit Popular                                    ;622;6,38;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;51;0,52;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;26;0,27;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;20;0,21;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;13;0,13;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;E.CAT      ;Estat Català                                      ;5;0,05;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;0;0,00;0
A;1999;CO;Catalunya                ;;;4;Alt Urgell                    ;;;;;PH         ;Partit Humanista de Catalunya                     ;0;0,00;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;CiU        ;Convergència i Unió                               ;776;42,20;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;756;41,11;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;165;8,97;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PP         ;Partit Popular                                    ;109;5,93;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;9;0,49;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;7;0,38;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;4;0,22;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;3;0,16;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;E.CAT      ;Estat Català                                      ;1;0,05;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;0;0,00;0
A;1999;CO;Catalunya                ;;;5;Alta Ribagorça                ;;;;;PH         ;Partit Humanista de Catalunya                     ;0;0,00;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;CiU        ;Convergència i Unió                               ;20.810;45,53;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;15.464;33,83;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;4.040;8,84;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;PP         ;Partit Popular                                    ;3.057;6,69;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;1.064;2,33;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;346;0,76;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;284;0,62;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;72;0,16;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;54;0,12;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;26;0,06;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;UC-CDS     ;Unión Centrista-Centro Democrático y Social       ;21;0,05;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;E.CAT      ;Estat Català                                      ;20;0,04;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;PH         ;Partit Humanista de Catalunya                     ;16;0,04;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;PE         ;Partit Espinaltià                                 ;13;0,03;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;PLN        ;Partit de la Llei Natural                         ;10;0,02;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;7;0,02;0
A;1999;CO;Catalunya                ;;;6;Anoia                         ;;;;;UFD        ;Unión Federal Democrática                         ;7;0,02;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;CiU        ;Convergència i Unió                               ;39.533;47,85;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;24.904;30,14;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;10.049;12,16;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;PP         ;Partit Popular                                    ;4.080;4,94;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;1.953;2,36;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;628;0,76;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;415;0,50;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;111;0,13;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;57;0,07;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;E.CAT      ;Estat Català                                      ;42;0,05;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;30;0,04;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;PH         ;Partit Humanista de Catalunya                     ;29;0,04;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;UC-CDS     ;Unión Centrista-Centro Democrático y Social       ;28;0,03;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;PE         ;Partit Espinaltià                                 ;21;0,03;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;PLN        ;Partit de la Llei Natural                         ;20;0,02;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;9;0,01;0
A;1999;CO;Catalunya                ;;;7;Bages                         ;;;;;UFD        ;Unión Federal Democrática                         ;4;0,00;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;CiU        ;Convergència i Unió                               ;25.648;40,87;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;20.928;33,35;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;7.573;12,07;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PP         ;Partit Popular                                    ;6.280;10,01;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;538;0,86;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;489;0,78;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;279;0,44;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;UNIC-FIC   ;Unió d'Independents Conca de Barberà-FIC          ;204;0,33;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;75;0,12;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;E.CAT      ;Estat Català                                      ;63;0,10;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PE         ;Partit Espinaltià                                 ;49;0,08;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PLN        ;Partit de la Llei Natural                         ;36;0,06;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;PH         ;Partit Humanista de Catalunya                     ;32;0,05;0
A;1999;CO;Catalunya                ;;;8;Baix Camp                     ;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;19;0,03;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;CiU        ;Convergència i Unió                               ;13.700;44,31;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;9.665;31,26;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PP         ;Partit Popular                                    ;3.773;12,20;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;2.948;9,53;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;141;0,46;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;131;0,42;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;83;0,27;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;UNIC-FIC   ;Unió d'Independents Conca de Barberà-FIC          ;62;0,20;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;22;0,07;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;E.CAT      ;Estat Català                                      ;16;0,05;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PE         ;Partit Espinaltià                                 ;15;0,05;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PH         ;Partit Humanista de Catalunya                     ;12;0,04;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;PLN        ;Partit de la Llei Natural                         ;6;0,02;0
A;1999;CO;Catalunya                ;;;9;Baix Ebre                     ;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;4;0,01;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;CiU        ;Convergència i Unió                               ;23.671;48,29;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;15.918;32,47;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;5.415;11,05;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PP         ;Partit Popular                                    ;2.506;5,11;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;368;0,75;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;288;0,59;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;203;0,41;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;47;0,10;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;E.CAT      ;Estat Català                                      ;32;0,07;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PE         ;Partit Espinaltià                                 ;30;0,06;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PH         ;Partit Humanista de Catalunya                     ;26;0,05;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;PLN        ;Partit de la Llei Natural                         ;23;0,05;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;19;0,04;0
A;1999;CO;Catalunya                ;;;10;Baix Empordà                  ;;;;;CAM        ;Catalans al Món                                   ;15;0,03;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;149.952;48,07;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;CiU        ;Convergència i Unió                               ;86.209;27,63;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;PP         ;Partit Popular                                    ;29.612;9,49;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;17.667;5,66;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;13.376;4,29;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;7.675;2,46;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;2.537;0,81;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;POSI       ;Partit Obrer Socialista Internacionalista         ;686;0,22;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;664;0,21;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;UC-CDS     ;Unión Centrista-Centro Democrático y Social       ;220;0,07;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;FE-JONS    ;Falange Española de las J.O.N.S.                  ;161;0,05;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;E.CAT      ;Estat Català                                      ;141;0,05;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;PH         ;Partit Humanista de Catalunya                     ;118;0,04;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;PLN        ;Partit de la Llei Natural                         ;94;0,03;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;UFD        ;Unión Federal Democrática                         ;76;0,02;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;PE         ;Partit Espinaltià                                 ;61;0,02;0
A;1999;CO;Catalunya                ;;;11;Baix Llobregat                ;;;;;LI (LIT-CI);Lluita Internacionalista                          ;54;0,02;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;PSC-CC-IC-V;PSC-Ciutadans pel Canvi-IC-Verds                  ;10.415;40,53;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;CiU        ;Convergència i Unió                               ;10.205;39,71;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;PP         ;Partit Popular                                    ;2.345;9,12;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;2.031;7,90;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;177;0,69;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;149;0,58;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;73;0,28;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;TPR        ;Trabajadores Públicos Rebotados                   ;20;0,08;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;E.CAT      ;Estat Català                                      ;17;0,07;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;PLN        ;Partit de la Llei Natural                         ;13;0,05;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;P.DE.P     ;Partido Democrático del Pueblo                    ;13;0,05;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;PH         ;Partit Humanista de Catalunya                     ;8;0,03;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;PE         ;Partit Espinaltià                                 ;3;0,01;0
A;1999;CO;Catalunya                ;;;12;Baix Penedès                  ;;;;;UNIC-FIC   ;Unió d'Independents Conca de Barberà-FIC          ;3;0,01;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;PSC-CpC    ;PSC-Ciutadans pel Canvi                           ;448.495;41,29;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;CiU        ;Convergència i Unió                               ;347.904;32,03;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;PP         ;Partit Popular                                    ;132.712;12,22;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;ERC        ;Esquerra Republicana de Catalunya                 ;77.682;7,15;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;IC-V       ;Iniciativa per Catalunya-Verds                    ;36.344;3,35;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;EUiA       ;Esquerra Unida i Alternativa                      ;17.739;1,63;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;EV-CEC     ;Els Verds-Confederació Ecologista de Catalunya    ;7.873;0,72;0
A;1999;CO;Catalunya                ;;;13;Barcelonès                    ;;;;;EV-AV      ;Els Verds-Alternativa Verda                       ;2.599;0,24;0
