ELECCIO;ANY;NIVELL;AUTONOMIA;CODI PROVÍNCIA;PROVÍNCIA;CODI COMARCA;COMARCA;CODI MUNICIPI;MUNICIPI;CODI DISTRICTE;DISTRICTE;CENS ELECTORAL;VOTANTS;% VOTANTS;ABSTENCIÓ;% ABSTENCIÓ;VOTS NULS;% VOTS NULS;VOTS EN BLANC;% VOTS EN BLANC;VOTS A CANDIDATURES;% VOTS A CANDIDATURES;VOTS VÀLIDS;% VOTS VÀLIDS
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;35;Camós;;;554;394;71,12;160;28,88;1;0,25;4;1,02;389;98,73;393;99,75
A;2010;MU;Catalunya;17;Girona;31;Ripollès;36;Campdevànol;;;2.858;1.801;63,02;1.057;36,98;20;1,11;63;3,50;1.718;95,39;1.781;98,89
A;2010;MU;Catalunya;17;Girona;31;Ripollès;37;Campelles;;;109;72;66,06;37;33,94;0;0,00;1;1,39;71;98,61;72;100,00
A;2010;MU;Catalunya;17;Girona;20;Gironès;38;Campllong;;;331;253;76,44;78;23,56;3;1,19;3;1,19;247;97,63;250;98,81
A;2010;MU;Catalunya;17;Girona;31;Ripollès;39;Camprodon;;;1.886;1.313;69,62;573;30,38;20;1,52;38;2,89;1.255;95,58;1.293;98,48
A;2010;MU;Catalunya;17;Girona;20;Gironès;40;Canet d Adri;;;510;332;65,10;178;34,90;0;0,00;10;3,01;322;96,99;332;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;41;Cantallops;;;231;145;62,77;86;37,23;1;0,69;7;4,83;137;94,48;144;99,31
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;42;Capmany;;;419;285;68,02;134;31,98;5;1,75;10;3,51;270;94,74;280;98,25
A;2010;MU;Catalunya;17;Girona;31;Ripollès;43;Queralbs;;;160;118;73,75;42;26,25;1;0,85;0;0,00;117;99,15;117;99,15
A;2010;MU;Catalunya;17;Girona;20;Gironès;44;Cassà de la Selva;;;6.590;4.369;66,30;2.221;33,70;47;1,08;138;3,16;4.184;95,77;4.322;98,92
A;2010;MU;Catalunya;17;Girona;19;Garrotxa;46;Castellfollit de la Roca;;;743;508;68,37;235;31,63;4;0,79;14;2,76;490;96,46;504;99,21
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;47;Castelló d Empúries;;;4.812;2.505;52,06;2.307;47,94;22;0,88;49;1,96;2.434;97,17;2.483;99,12
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;48;Castell-Platja d Aro;;;6.086;3.399;55,85;2.687;44,15;13;0,38;64;1,88;3.322;97,73;3.386;99,62
A;2010;MU;Catalunya;17;Girona;20;Gironès;49;Celrà;;;3.040;1.932;63,55;1.108;36,45;27;1,40;59;3,05;1.846;95,55;1.905;98,60
A;2010;MU;Catalunya;17;Girona;20;Gironès;50;Cervià de Ter;;;638;471;73,82;167;26,18;3;0,64;31;6,58;437;92,78;468;99,36
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;51;Cistella;;;198;143;72,22;55;27,78;6;4,20;4;2,80;133;93,01;137;95,80
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;52;Siurana;;;140;86;61,43;54;38,57;0;0,00;6;6,98;80;93,02;86;100,00
A;2010;MU;Catalunya;17;Girona;2;Alt Empordà;54;Colera;;;384;253;65,89;131;34,11;2;0,79;8;3,16;243;96,05;251;99,21
A;2010;MU;Catalunya;17;Girona;10;Baix Empordà;55;Colomers;;;156;122;78,21;34;21,79;12;9,84;4;3,28;106;86,89;110;90,16
A;2010;MU;Catalunya;17;Girona;28;Pla de l'Estany;56;Cornellà del Terri;;;1.694;1.191;70,31;503;29,69;9;0,76;34;2,85;1.148;96,39;1.182;99,24
